tuple_id	execution_ordinal	block_id	block_local_position	row_role	q	bank_A_work	bank_B_work	total_work	r_prepare	r_query	relation_match	query	relation_cell	session	replicate	mapping	delay_label	delay_ns	source_lifetime	lifetime_pair_id	lifetime_execution_order	lifetime_hold_ns	source_order	query_order	cyclic_origin	route_pressure_class	distance_control_class	allocation_order_class	prefault_class	operation_semantics_id	control_semantics_id	source_cpu_expected	receiver_cpu_expected	source_loop_count	receiver_loop_count	read_count	write_count	page_count_A	page_count_B	line_count_A	line_count_B	logical_line_histogram_sha256	virtual_offset_histogram_sha256	actual_cache_index_status	pair_distance_histogram_sha256	permutation_cycle_structure_sha256	matched_twin_group	matched_twin_pair	expected_pmu_group	requires_pmu	post_observation_scheduling
family10h_relation_composition_phase_correction_discovery_v1_0:dead_balanced_alt_b_primary:000054:1127b2cbe989de4d	54	dead_balanced_alt_b_primary_seg_00_primary_block_00013_6a09e4eaef	2	relation_matrix	0	2048	2048	4096	relation_r1	relation_r1	True	dead_balanced_alt_b_compose_query_relation_pair_control	prepare_r1__query_r1	session_0	1	map1	same_window	0	alive_during_query	spatial_block_repeat_1	alive_only	25000000	A_then_B	BA	0	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_b:dead_balanced_alt_b_primary	dead_balanced_alt_b_compose_query_relation_pair_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	dead_balanced_alt_b_primary_seg_00_primary_block_00013_6a09e4eaef:composition_phase_correction:dead_balanced_alt_b_primary	dead_balanced_alt_b_primary_seg_00_primary_block_00013_6a09e4eaef:relation_pair_2:dead_balanced_alt_b_primary	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:dead_balanced_alt_b_primary:000055:eb6802509bd00467	55	dead_balanced_alt_b_primary_seg_00_primary_block_00013_6a09e4eaef	3	relation_matrix	0	2048	2048	4096	relation_r0	relation_r0	True	dead_balanced_alt_b_compose_query_relation_pair_control	prepare_r0__query_r0	session_0	1	map1	same_window	0	alive_during_query	spatial_block_repeat_1	alive_only	25000000	A_then_B	BA	0	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_b:dead_balanced_alt_b_primary	dead_balanced_alt_b_compose_query_relation_pair_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	dead_balanced_alt_b_primary_seg_00_primary_block_00013_6a09e4eaef:composition_phase_correction:dead_balanced_alt_b_primary	dead_balanced_alt_b_primary_seg_00_primary_block_00013_6a09e4eaef:relation_pair_3:dead_balanced_alt_b_primary	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:dead_balanced_alt_b_primary:000056:9d05340099adeead	56	dead_balanced_alt_b_primary_seg_00_primary_block_00014_baf8e916ea	0	relation_matrix	0	2048	2048	4096	relation_r1	relation_r0	False	dead_balanced_alt_b_compose_query_relation_pair_control	prepare_r1__query_r0	session_0	1	map1	same_window	0	alive_during_query	spatial_block_repeat_1	alive_only	25000000	A_then_B	BA	0	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_b:dead_balanced_alt_b_primary	dead_balanced_alt_b_compose_query_relation_pair_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	dead_balanced_alt_b_primary_seg_00_primary_block_00014_baf8e916ea:composition_phase_correction:dead_balanced_alt_b_primary	dead_balanced_alt_b_primary_seg_00_primary_block_00014_baf8e916ea:relation_pair_0:dead_balanced_alt_b_primary	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:dead_balanced_alt_b_primary:000057:24fc5aac71db285e	57	dead_balanced_alt_b_primary_seg_00_primary_block_00014_baf8e916ea	1	relation_matrix	0	2048	2048	4096	relation_r1	relation_r1	True	dead_balanced_alt_b_compose_query_relation_pair_control	prepare_r1__query_r1	session_0	1	map1	same_window	0	alive_during_query	spatial_block_repeat_1	alive_only	25000000	A_then_B	BA	0	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_b:dead_balanced_alt_b_primary	dead_balanced_alt_b_compose_query_relation_pair_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	dead_balanced_alt_b_primary_seg_00_primary_block_00014_baf8e916ea:composition_phase_correction:dead_balanced_alt_b_primary	dead_balanced_alt_b_primary_seg_00_primary_block_00014_baf8e916ea:relation_pair_1:dead_balanced_alt_b_primary	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:dead_balanced_alt_b_primary:000058:a2fe502ad8fb1bc0	58	dead_balanced_alt_b_primary_seg_00_primary_block_00014_baf8e916ea	2	relation_matrix	0	2048	2048	4096	relation_r0	relation_r0	True	dead_balanced_alt_b_compose_query_relation_pair_control	prepare_r0__query_r0	session_0	1	map1	same_window	0	alive_during_query	spatial_block_repeat_1	alive_only	25000000	A_then_B	BA	0	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_b:dead_balanced_alt_b_primary	dead_balanced_alt_b_compose_query_relation_pair_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	dead_balanced_alt_b_primary_seg_00_primary_block_00014_baf8e916ea:composition_phase_correction:dead_balanced_alt_b_primary	dead_balanced_alt_b_primary_seg_00_primary_block_00014_baf8e916ea:relation_pair_2:dead_balanced_alt_b_primary	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:dead_balanced_alt_b_primary:000059:9ee8efdaecce3d61	59	dead_balanced_alt_b_primary_seg_00_primary_block_00014_baf8e916ea	3	relation_matrix	0	2048	2048	4096	relation_r0	relation_r1	False	dead_balanced_alt_b_compose_query_relation_pair_control	prepare_r0__query_r1	session_0	1	map1	same_window	0	alive_during_query	spatial_block_repeat_1	alive_only	25000000	A_then_B	BA	0	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_b:dead_balanced_alt_b_primary	dead_balanced_alt_b_compose_query_relation_pair_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	dead_balanced_alt_b_primary_seg_00_primary_block_00014_baf8e916ea:composition_phase_correction:dead_balanced_alt_b_primary	dead_balanced_alt_b_primary_seg_00_primary_block_00014_baf8e916ea:relation_pair_3:dead_balanced_alt_b_primary	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:dead_balanced_alt_b_primary:000060:d9cc70d384edd659	60	dead_balanced_alt_b_primary_seg_00_primary_block_00015_db1903309e	0	relation_matrix	0	2048	2048	4096	relation_r1	relation_r1	True	dead_balanced_alt_b_compose_query_relation_pair_control	prepare_r1__query_r1	session_1	0	map0	same_window	0	alive_during_query	spatial_block_repeat_2	alive_only	25000000	A_then_B	AB	2048	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_b:dead_balanced_alt_b_primary	dead_balanced_alt_b_compose_query_relation_pair_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	dead_balanced_alt_b_primary_seg_00_primary_block_00015_db1903309e:composition_phase_correction:dead_balanced_alt_b_primary	dead_balanced_alt_b_primary_seg_00_primary_block_00015_db1903309e:relation_pair_0:dead_balanced_alt_b_primary	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:dead_balanced_alt_b_primary:000061:cc01d7392facc6de	61	dead_balanced_alt_b_primary_seg_00_primary_block_00015_db1903309e	1	relation_matrix	0	2048	2048	4096	relation_r0	relation_r0	True	dead_balanced_alt_b_compose_query_relation_pair_control	prepare_r0__query_r0	session_1	0	map0	same_window	0	alive_during_query	spatial_block_repeat_2	alive_only	25000000	A_then_B	AB	2048	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_b:dead_balanced_alt_b_primary	dead_balanced_alt_b_compose_query_relation_pair_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	dead_balanced_alt_b_primary_seg_00_primary_block_00015_db1903309e:composition_phase_correction:dead_balanced_alt_b_primary	dead_balanced_alt_b_primary_seg_00_primary_block_00015_db1903309e:relation_pair_1:dead_balanced_alt_b_primary	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:dead_balanced_alt_b_primary:000062:b47ef25c656292a0	62	dead_balanced_alt_b_primary_seg_00_primary_block_00015_db1903309e	2	relation_matrix	0	2048	2048	4096	relation_r0	relation_r1	False	dead_balanced_alt_b_compose_query_relation_pair_control	prepare_r0__query_r1	session_1	0	map0	same_window	0	alive_during_query	spatial_block_repeat_2	alive_only	25000000	A_then_B	AB	2048	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_b:dead_balanced_alt_b_primary	dead_balanced_alt_b_compose_query_relation_pair_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	dead_balanced_alt_b_primary_seg_00_primary_block_00015_db1903309e:composition_phase_correction:dead_balanced_alt_b_primary	dead_balanced_alt_b_primary_seg_00_primary_block_00015_db1903309e:relation_pair_2:dead_balanced_alt_b_primary	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:dead_balanced_alt_b_primary:000063:defb02468776140d	63	dead_balanced_alt_b_primary_seg_00_primary_block_00015_db1903309e	3	relation_matrix	0	2048	2048	4096	relation_r1	relation_r0	False	dead_balanced_alt_b_compose_query_relation_pair_control	prepare_r1__query_r0	session_1	0	map0	same_window	0	alive_during_query	spatial_block_repeat_2	alive_only	25000000	A_then_B	AB	2048	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_b:dead_balanced_alt_b_primary	dead_balanced_alt_b_compose_query_relation_pair_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	dead_balanced_alt_b_primary_seg_00_primary_block_00015_db1903309e:composition_phase_correction:dead_balanced_alt_b_primary	dead_balanced_alt_b_primary_seg_00_primary_block_00015_db1903309e:relation_pair_3:dead_balanced_alt_b_primary	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:dead_balanced_alt_b_primary:000064:809a5c08f555c25f	64	dead_balanced_alt_b_primary_seg_00_primary_block_00016_7055fda5eb	0	relation_matrix	0	2048	2048	4096	relation_r0	relation_r0	True	dead_balanced_alt_b_compose_query_relation_pair_control	prepare_r0__query_r0	session_1	0	map0	same_window	0	alive_during_query	spatial_block_repeat_1	alive_only	25000000	A_then_B	AB	0	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_b:dead_balanced_alt_b_primary	dead_balanced_alt_b_compose_query_relation_pair_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	dead_balanced_alt_b_primary_seg_00_primary_block_00016_7055fda5eb:composition_phase_correction:dead_balanced_alt_b_primary	dead_balanced_alt_b_primary_seg_00_primary_block_00016_7055fda5eb:relation_pair_0:dead_balanced_alt_b_primary	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:dead_balanced_alt_b_primary:000065:434e3f7fb5e96bbb	65	dead_balanced_alt_b_primary_seg_00_primary_block_00016_7055fda5eb	1	relation_matrix	0	2048	2048	4096	relation_r0	relation_r1	False	dead_balanced_alt_b_compose_query_relation_pair_control	prepare_r0__query_r1	session_1	0	map0	same_window	0	alive_during_query	spatial_block_repeat_1	alive_only	25000000	A_then_B	AB	0	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_b:dead_balanced_alt_b_primary	dead_balanced_alt_b_compose_query_relation_pair_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	dead_balanced_alt_b_primary_seg_00_primary_block_00016_7055fda5eb:composition_phase_correction:dead_balanced_alt_b_primary	dead_balanced_alt_b_primary_seg_00_primary_block_00016_7055fda5eb:relation_pair_1:dead_balanced_alt_b_primary	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:dead_balanced_alt_b_primary:000066:b84cc70f8f0d6cd3	66	dead_balanced_alt_b_primary_seg_00_primary_block_00016_7055fda5eb	2	relation_matrix	0	2048	2048	4096	relation_r1	relation_r0	False	dead_balanced_alt_b_compose_query_relation_pair_control	prepare_r1__query_r0	session_1	0	map0	same_window	0	alive_during_query	spatial_block_repeat_1	alive_only	25000000	A_then_B	AB	0	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_b:dead_balanced_alt_b_primary	dead_balanced_alt_b_compose_query_relation_pair_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	dead_balanced_alt_b_primary_seg_00_primary_block_00016_7055fda5eb:composition_phase_correction:dead_balanced_alt_b_primary	dead_balanced_alt_b_primary_seg_00_primary_block_00016_7055fda5eb:relation_pair_2:dead_balanced_alt_b_primary	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:dead_balanced_alt_b_primary:000067:fe7d43a1f001fd81	67	dead_balanced_alt_b_primary_seg_00_primary_block_00016_7055fda5eb	3	relation_matrix	0	2048	2048	4096	relation_r1	relation_r1	True	dead_balanced_alt_b_compose_query_relation_pair_control	prepare_r1__query_r1	session_1	0	map0	same_window	0	alive_during_query	spatial_block_repeat_1	alive_only	25000000	A_then_B	AB	0	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_b:dead_balanced_alt_b_primary	dead_balanced_alt_b_compose_query_relation_pair_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	dead_balanced_alt_b_primary_seg_00_primary_block_00016_7055fda5eb:composition_phase_correction:dead_balanced_alt_b_primary	dead_balanced_alt_b_primary_seg_00_primary_block_00016_7055fda5eb:relation_pair_3:dead_balanced_alt_b_primary	family10h_public_relation_match_group	True	False
family10h_relation_composition_phase_correction_discovery_v1_0:dead_balanced_alt_b_primary:000068:d591916aeac1cd41	68	dead_balanced_alt_b_primary_seg_00_primary_block_00017_7ed6aa045c	0	relation_matrix	0	2048	2048	4096	relation_r0	relation_r1	False	dead_balanced_alt_b_compose_query_relation_pair_control	prepare_r0__query_r1	session_0	1	map0	same_window	0	alive_during_query	spatial_block_repeat_3	alive_only	25000000	A_then_B	AB	1024	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_phase_correction:balanced_alternating_phase_b:dead_balanced_alt_b_primary	dead_balanced_alt_b_compose_query_relation_pair_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	dead_balanced_alt_b_primary_seg_00_primary_block_00017_7ed6aa045c:composition_phase_correction:dead_balanced_alt_b_primary	dead_balanced_alt_b_primary_seg_00_primary_block_00017_7ed6aa045c:relation_pair_0:dead_balanced_alt_b_primary	family10h_public_relation_match_group	True	False
