tuple_id	execution_ordinal	block_id	block_local_position	row_role	q	bank_A_work	bank_B_work	total_work	r_prepare	r_query	relation_match	query	relation_cell	session	replicate	mapping	delay_label	delay_ns	source_lifetime	lifetime_pair_id	lifetime_execution_order	lifetime_hold_ns	source_order	query_order	cyclic_origin	route_pressure_class	distance_control_class	allocation_order_class	prefault_class	operation_semantics_id	control_semantics_id	source_cpu_expected	receiver_cpu_expected	source_loop_count	receiver_loop_count	read_count	write_count	page_count_A	page_count_B	line_count_A	line_count_B	logical_line_histogram_sha256	virtual_offset_histogram_sha256	actual_cache_index_status	pair_distance_histogram_sha256	permutation_cycle_structure_sha256	matched_twin_group	matched_twin_pair	expected_pmu_group	requires_pmu	post_observation_scheduling
family10h_relation_composition_replay_exclusion_discovery_v1_0:adjacent_r0r1_sham:000113:1d07ee31bdde4c0e	113	adjacent_r0r1_sham_seg_00_primary_block_00028_8ecc25ae66	1	relation_matrix	0	2048	2048	4096	relation_r0	relation_r1	False	compose_r0_then_r1_relation_sham_control	prepare_r0__query_r1	session_1	0	map0	same_window	0	alive_during_query	spatial_block_repeat_3	alive_only	25000000	A_then_B	AB	3072	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_replay_exclusion:adjacent_r0_then_r1:adjacent_r0r1_sham	compose_r0_then_r1_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	adjacent_r0r1_sham_seg_00_primary_block_00028_8ecc25ae66:composition_replay_exclusion:adjacent_r0r1_sham	adjacent_r0r1_sham_seg_00_primary_block_00028_8ecc25ae66:relation_pair_1:adjacent_r0r1_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_replay_exclusion_discovery_v1_0:adjacent_r0r1_sham:000114:1f22d83da271dcb9	114	adjacent_r0r1_sham_seg_00_primary_block_00028_8ecc25ae66	2	relation_matrix	0	2048	2048	4096	relation_r1	relation_r0	False	compose_r0_then_r1_relation_sham_control	prepare_r1__query_r0	session_1	0	map0	same_window	0	alive_during_query	spatial_block_repeat_3	alive_only	25000000	A_then_B	AB	3072	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_replay_exclusion:adjacent_r0_then_r1:adjacent_r0r1_sham	compose_r0_then_r1_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	adjacent_r0r1_sham_seg_00_primary_block_00028_8ecc25ae66:composition_replay_exclusion:adjacent_r0r1_sham	adjacent_r0r1_sham_seg_00_primary_block_00028_8ecc25ae66:relation_pair_2:adjacent_r0r1_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_replay_exclusion_discovery_v1_0:adjacent_r0r1_sham:000115:4b4e839f3c7cc482	115	adjacent_r0r1_sham_seg_00_primary_block_00028_8ecc25ae66	3	relation_matrix	0	2048	2048	4096	relation_r1	relation_r1	True	compose_r0_then_r1_relation_sham_control	prepare_r1__query_r1	session_1	0	map0	same_window	0	alive_during_query	spatial_block_repeat_3	alive_only	25000000	A_then_B	AB	3072	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_replay_exclusion:adjacent_r0_then_r1:adjacent_r0r1_sham	compose_r0_then_r1_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	adjacent_r0r1_sham_seg_00_primary_block_00028_8ecc25ae66:composition_replay_exclusion:adjacent_r0r1_sham	adjacent_r0r1_sham_seg_00_primary_block_00028_8ecc25ae66:relation_pair_3:adjacent_r0r1_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_replay_exclusion_discovery_v1_0:adjacent_r0r1_sham:000116:acee3b0da11e3edf	116	adjacent_r0r1_sham_seg_00_primary_block_00029_83d11fda67	0	relation_matrix	0	2048	2048	4096	relation_r0	relation_r1	False	compose_r0_then_r1_relation_sham_control	prepare_r0__query_r1	session_0	1	map1	same_window	0	alive_during_query	spatial_block_repeat_2	alive_only	25000000	A_then_B	AB	0	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_replay_exclusion:adjacent_r0_then_r1:adjacent_r0r1_sham	compose_r0_then_r1_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	adjacent_r0r1_sham_seg_00_primary_block_00029_83d11fda67:composition_replay_exclusion:adjacent_r0r1_sham	adjacent_r0r1_sham_seg_00_primary_block_00029_83d11fda67:relation_pair_0:adjacent_r0r1_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_replay_exclusion_discovery_v1_0:adjacent_r0r1_sham:000117:602d6d0ef6e20c92	117	adjacent_r0r1_sham_seg_00_primary_block_00029_83d11fda67	1	relation_matrix	0	2048	2048	4096	relation_r1	relation_r0	False	compose_r0_then_r1_relation_sham_control	prepare_r1__query_r0	session_0	1	map1	same_window	0	alive_during_query	spatial_block_repeat_2	alive_only	25000000	A_then_B	AB	0	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_replay_exclusion:adjacent_r0_then_r1:adjacent_r0r1_sham	compose_r0_then_r1_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	adjacent_r0r1_sham_seg_00_primary_block_00029_83d11fda67:composition_replay_exclusion:adjacent_r0r1_sham	adjacent_r0r1_sham_seg_00_primary_block_00029_83d11fda67:relation_pair_1:adjacent_r0r1_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_replay_exclusion_discovery_v1_0:adjacent_r0r1_sham:000118:46fc1d3629d8f2ab	118	adjacent_r0r1_sham_seg_00_primary_block_00029_83d11fda67	2	relation_matrix	0	2048	2048	4096	relation_r1	relation_r1	True	compose_r0_then_r1_relation_sham_control	prepare_r1__query_r1	session_0	1	map1	same_window	0	alive_during_query	spatial_block_repeat_2	alive_only	25000000	A_then_B	AB	0	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_replay_exclusion:adjacent_r0_then_r1:adjacent_r0r1_sham	compose_r0_then_r1_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	adjacent_r0r1_sham_seg_00_primary_block_00029_83d11fda67:composition_replay_exclusion:adjacent_r0r1_sham	adjacent_r0r1_sham_seg_00_primary_block_00029_83d11fda67:relation_pair_2:adjacent_r0r1_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_replay_exclusion_discovery_v1_0:adjacent_r0r1_sham:000119:dad4d62932bf853a	119	adjacent_r0r1_sham_seg_00_primary_block_00029_83d11fda67	3	relation_matrix	0	2048	2048	4096	relation_r0	relation_r0	True	compose_r0_then_r1_relation_sham_control	prepare_r0__query_r0	session_0	1	map1	same_window	0	alive_during_query	spatial_block_repeat_2	alive_only	25000000	A_then_B	AB	0	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_replay_exclusion:adjacent_r0_then_r1:adjacent_r0r1_sham	compose_r0_then_r1_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	adjacent_r0r1_sham_seg_00_primary_block_00029_83d11fda67:composition_replay_exclusion:adjacent_r0r1_sham	adjacent_r0r1_sham_seg_00_primary_block_00029_83d11fda67:relation_pair_3:adjacent_r0r1_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_replay_exclusion_discovery_v1_0:adjacent_r0r1_sham:000120:7aef376bcf035ca3	120	adjacent_r0r1_sham_seg_00_primary_block_00030_5d4b052a9c	0	relation_matrix	0	2048	2048	4096	relation_r1	relation_r0	False	compose_r0_then_r1_relation_sham_control	prepare_r1__query_r0	session_1	1	map0	same_window	0	alive_during_query	spatial_block_repeat_3	alive_only	25000000	A_then_B	BA	1024	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_replay_exclusion:adjacent_r0_then_r1:adjacent_r0r1_sham	compose_r0_then_r1_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	adjacent_r0r1_sham_seg_00_primary_block_00030_5d4b052a9c:composition_replay_exclusion:adjacent_r0r1_sham	adjacent_r0r1_sham_seg_00_primary_block_00030_5d4b052a9c:relation_pair_0:adjacent_r0r1_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_replay_exclusion_discovery_v1_0:adjacent_r0r1_sham:000121:a0c1a05f734962e8	121	adjacent_r0r1_sham_seg_00_primary_block_00030_5d4b052a9c	1	relation_matrix	0	2048	2048	4096	relation_r1	relation_r1	True	compose_r0_then_r1_relation_sham_control	prepare_r1__query_r1	session_1	1	map0	same_window	0	alive_during_query	spatial_block_repeat_3	alive_only	25000000	A_then_B	BA	1024	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_replay_exclusion:adjacent_r0_then_r1:adjacent_r0r1_sham	compose_r0_then_r1_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	adjacent_r0r1_sham_seg_00_primary_block_00030_5d4b052a9c:composition_replay_exclusion:adjacent_r0r1_sham	adjacent_r0r1_sham_seg_00_primary_block_00030_5d4b052a9c:relation_pair_1:adjacent_r0r1_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_replay_exclusion_discovery_v1_0:adjacent_r0r1_sham:000122:e281fb3feacb0747	122	adjacent_r0r1_sham_seg_00_primary_block_00030_5d4b052a9c	2	relation_matrix	0	2048	2048	4096	relation_r0	relation_r0	True	compose_r0_then_r1_relation_sham_control	prepare_r0__query_r0	session_1	1	map0	same_window	0	alive_during_query	spatial_block_repeat_3	alive_only	25000000	A_then_B	BA	1024	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_replay_exclusion:adjacent_r0_then_r1:adjacent_r0r1_sham	compose_r0_then_r1_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	adjacent_r0r1_sham_seg_00_primary_block_00030_5d4b052a9c:composition_replay_exclusion:adjacent_r0r1_sham	adjacent_r0r1_sham_seg_00_primary_block_00030_5d4b052a9c:relation_pair_2:adjacent_r0r1_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_replay_exclusion_discovery_v1_0:adjacent_r0r1_sham:000123:e4164cc4ef550d24	123	adjacent_r0r1_sham_seg_00_primary_block_00030_5d4b052a9c	3	relation_matrix	0	2048	2048	4096	relation_r0	relation_r1	False	compose_r0_then_r1_relation_sham_control	prepare_r0__query_r1	session_1	1	map0	same_window	0	alive_during_query	spatial_block_repeat_3	alive_only	25000000	A_then_B	BA	1024	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_replay_exclusion:adjacent_r0_then_r1:adjacent_r0r1_sham	compose_r0_then_r1_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	adjacent_r0r1_sham_seg_00_primary_block_00030_5d4b052a9c:composition_replay_exclusion:adjacent_r0r1_sham	adjacent_r0r1_sham_seg_00_primary_block_00030_5d4b052a9c:relation_pair_3:adjacent_r0r1_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_replay_exclusion_discovery_v1_0:adjacent_r0r1_sham:000124:7993bd476f3046f8	124	adjacent_r0r1_sham_seg_00_primary_block_00031_9d085f0df9	0	relation_matrix	0	2048	2048	4096	relation_r1	relation_r1	True	compose_r0_then_r1_relation_sham_control	prepare_r1__query_r1	session_0	0	map0	same_window	0	alive_during_query	spatial_block_repeat_1	alive_only	25000000	A_then_B	BA	3072	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_replay_exclusion:adjacent_r0_then_r1:adjacent_r0r1_sham	compose_r0_then_r1_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	adjacent_r0r1_sham_seg_00_primary_block_00031_9d085f0df9:composition_replay_exclusion:adjacent_r0r1_sham	adjacent_r0r1_sham_seg_00_primary_block_00031_9d085f0df9:relation_pair_0:adjacent_r0r1_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_replay_exclusion_discovery_v1_0:adjacent_r0r1_sham:000125:e627da7b700cdb61	125	adjacent_r0r1_sham_seg_00_primary_block_00031_9d085f0df9	1	relation_matrix	0	2048	2048	4096	relation_r0	relation_r0	True	compose_r0_then_r1_relation_sham_control	prepare_r0__query_r0	session_0	0	map0	same_window	0	alive_during_query	spatial_block_repeat_1	alive_only	25000000	A_then_B	BA	3072	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_replay_exclusion:adjacent_r0_then_r1:adjacent_r0r1_sham	compose_r0_then_r1_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	adjacent_r0r1_sham_seg_00_primary_block_00031_9d085f0df9:composition_replay_exclusion:adjacent_r0r1_sham	adjacent_r0r1_sham_seg_00_primary_block_00031_9d085f0df9:relation_pair_1:adjacent_r0r1_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_replay_exclusion_discovery_v1_0:adjacent_r0r1_sham:000126:70df6a90b8c26e90	126	adjacent_r0r1_sham_seg_00_primary_block_00031_9d085f0df9	2	relation_matrix	0	2048	2048	4096	relation_r0	relation_r1	False	compose_r0_then_r1_relation_sham_control	prepare_r0__query_r1	session_0	0	map0	same_window	0	alive_during_query	spatial_block_repeat_1	alive_only	25000000	A_then_B	BA	3072	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_replay_exclusion:adjacent_r0_then_r1:adjacent_r0r1_sham	compose_r0_then_r1_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	adjacent_r0r1_sham_seg_00_primary_block_00031_9d085f0df9:composition_replay_exclusion:adjacent_r0r1_sham	adjacent_r0r1_sham_seg_00_primary_block_00031_9d085f0df9:relation_pair_2:adjacent_r0r1_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_replay_exclusion_discovery_v1_0:adjacent_r0r1_sham:000127:b62f7e4a7c500130	127	adjacent_r0r1_sham_seg_00_primary_block_00031_9d085f0df9	3	relation_matrix	0	2048	2048	4096	relation_r1	relation_r0	False	compose_r0_then_r1_relation_sham_control	prepare_r1__query_r0	session_0	0	map0	same_window	0	alive_during_query	spatial_block_repeat_1	alive_only	25000000	A_then_B	BA	3072	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_replay_exclusion:adjacent_r0_then_r1:adjacent_r0r1_sham	compose_r0_then_r1_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	adjacent_r0r1_sham_seg_00_primary_block_00031_9d085f0df9:composition_replay_exclusion:adjacent_r0r1_sham	adjacent_r0r1_sham_seg_00_primary_block_00031_9d085f0df9:relation_pair_3:adjacent_r0r1_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_replay_exclusion_discovery_v1_0:adjacent_r0r1_sham:000128:4858fdf844f63dec	128	adjacent_r0r1_sham_seg_00_primary_block_00032_d420afbc49	0	relation_matrix	0	2048	2048	4096	relation_r0	relation_r0	True	compose_r0_then_r1_relation_sham_control	prepare_r0__query_r0	session_0	0	map0	same_window	0	alive_during_query	spatial_block_repeat_0	alive_only	25000000	A_then_B	BA	3072	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_replay_exclusion:adjacent_r0_then_r1:adjacent_r0r1_sham	compose_r0_then_r1_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	adjacent_r0r1_sham_seg_00_primary_block_00032_d420afbc49:composition_replay_exclusion:adjacent_r0r1_sham	adjacent_r0r1_sham_seg_00_primary_block_00032_d420afbc49:relation_pair_0:adjacent_r0r1_sham	family10h_public_relation_match_group	True	False
family10h_relation_composition_replay_exclusion_discovery_v1_0:adjacent_r0r1_sham:000129:4348c2092c5f63a5	129	adjacent_r0r1_sham_seg_00_primary_block_00032_d420afbc49	1	relation_matrix	0	2048	2048	4096	relation_r0	relation_r1	False	compose_r0_then_r1_relation_sham_control	prepare_r0__query_r1	session_0	0	map0	same_window	0	alive_during_query	spatial_block_repeat_0	alive_only	25000000	A_then_B	BA	3072	spatial_two_load_pair_probe	one_step_distance_matched_for_r0_r1	relation_label_independent_prefault_spatial_v1	all_lanes_prefaulted_before_source_fork	composition_replay_exclusion:adjacent_r0_then_r1:adjacent_r0r1_sham	compose_r0_then_r1_relation_sham_control	4	5	4096	512	512	4096	64	64	4096	4096	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	not_claimed_by_spatial_calibration	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	adjacent_r0r1_sham_seg_00_primary_block_00032_d420afbc49:composition_replay_exclusion:adjacent_r0r1_sham	adjacent_r0r1_sham_seg_00_primary_block_00032_d420afbc49:relation_pair_1:adjacent_r0r1_sham	family10h_public_relation_match_group	True	False
